batch_birdid!,A_firstisomidtimereltokill,A_lastnotisomidtimereltokill,A_firstf50lemidtimereltokill,A_firstf50leptotgethreshmidtimerel,A_lastnotf50lemidtimereltokill,A_lastnotf50leptotgethreshmidtimer,B_firstisomidtimereltokill,B_lastnotisomidtimereltokill,B_firstf50lemidtimereltokill,B_firstf50leptotgethreshmidtimerel,B_lastnotf50lemidtimereltokill,B_lastnotf50leptotgethreshmidtimer,batch!,birdtype!,birdagegroup!,block!,pen!,killweight,killagewks,device!,testorder,flatlinefromtracetimereltokill,movementceasetimereltokill,skinbroken!,ext_bl!,subc_ht!,dis!,dislevel!,vertdam!,neckgap!,carteries!,cveins!,neckmuscle!,spinalcord!,skullpenloc!,l_forebrain!,r_forebrain!,cerebellum!,midbrain!,brainstem!,in_bc_ht!,failedattempt!,dev_success!,kill_success!,maxmax,maxmaxJT,maxmaxPUP,maxmaxNIC,maxmaxRB
2_purple_85,14,12,,,12,12,14,12,,,12,12,2,layer,juvenile,3,25,0.87,11,NMCD,31,27,165,y,y,y,y,c0-c1,n,8,2,y,y,y,,,,,,,,0,n,y,225,0,75,0,0
2_purple_90,,,,,,,,,,,,,2,layer,juvenile,4,37,0.86,11,CONTROL,55,124,210,n,n,y,y,c0-c1,n,7,2,y,y,y,,,,,,,,0,y,y,15,15,15,15,15
2_red_305,44,42,1,1,42,22,44,42,1,1,16,16,2,layer,adult,3,9,1.92,74,CONTROL,30,41,135,n,n,y,y,c2-c3,n,3,0,y,y,y,,,,,,,,0,n,y,165,0,60,15,15
2_red_61,3,2,,,2,2,3,2,1,1,,,2,layer,adult,3,2,2.07,74,CONTROL,34,51,210,n,n,y,y,c2-c3,n,3,0,y,y,y,,,,,,,,0,n,y,180,0,75,0,0
2_red_64,,12,1,1,3,3,,12,1,1,,,2,layer,adult,1,8,1.64,74,MARM,1,,,n,n,n,,,,,,,,,x,n,n,n,n,n,n,1,n,n,15,15,15,0,0
2_red_65,54,,,,,,,,,,,,2,layer,adult,4,3,1.87,74,NMCD,54,57,120,y,y,y,y,c0-c1,n,11,2,y,y,y,,,,,,,,0,n,y,120,0,15,0,0
2_red_66,48,46,2,2,,,48,46,2,2,,,2,layer,adult,1,4,1.67,74,NMCD,9,79,150,n,n,y,y,c1-c2,n,6,1,y,y,y,,,,,,,,0,n,y,210,0,90,0,0
2_red_69,170,95,1,1,95,95,170,95,1,1,80,80,2,layer,adult,1,1,1.59,74,MARM,5,79,150,y,y,y,,,,,,,,,fm,n,n,y,n,y,y,0,y,y,120,30,90,0,0
2_red_72,14,12,12,12,6,6,14,12,6,6,,,2,layer,adult,4,6,1.94,74,NMCD,50,57,165,n,n,y,y,c2-c3,n,4,1,n,y,y,,,,,,,,0,n,y,210,0,90,0,0
2_red_79,,,,,,,,,,,,,2,layer,adult,3,5,1.7,74,CONTROL,38,95,225,n,n,y,y,c2-c3,n,4,1,y,y,y,,,,,,,,0,n,y,180,0,30,0,0
